Date,Close,High,Low,Open,Volume
6/27/2022,1128.96582,1152.65346,1123.9384,1152.65346,15474529
6/28/2022,1144.840576,1147.671338,1124.187598,1124.187598,13572847
6/29/2022,1168.596069,1176.227829,1132.74762,1135.55574,19205146
6/30/2022,1175.616455,1184.788009,1162.187437,1168.528229,23112959
7/1/2022,1090.943481,1173.963321,1071.151027,1166.218469,81997149
7/4/2022,1093.208008,1106.025565,1071.649099,1077.469119,41857728
7/5/2022,1102.0625,1116.397328,1094.747851,1097.420118,17647327
7/6/2022,1092.370117,1106.002916,1081.56808,1096.10669,23943726
7/7/2022,1081.613281,1102.062478,1075.68005,1098.733586,23301033
7/8/2022,1083.10791,1095.15551,1079.099511,1095.15551,19010108
7/11/2022,1097.827881,1100.047062,1073.415567,1076.359541,13847467
7/12/2022,1096.265015,1104.983722,1088.814513,1088.814513,10778989
7/13/2022,1076.834961,1102.402268,1074.774275,1099.367726,14224132
7/14/2022,1085.712158,1102.379618,1076.563247,1081.568025,16970315
7/15/2022,1087.818115,1093.79663,1079.348592,1093.79663,9603210
7/18/2022,1097.080444,1098.325888,1083.515454,1096.514268,15160908
7/19/2022,1103.806396,1108.290283,1087.138935,1087.138935,16439888
7/20/2022,1133.653564,1151.543828,1126.067208,1150.411595,23924246
7/21/2022,1126.089722,1132.294779,1117.484345,1129.577229,16523230
7/22/2022,1133.698975,1139.677491,1130.030329,1132.294915,10969995
7/25/2022,1096.242554,1117.552398,1088.361848,1117.552398,23110452
7/26/2022,1096.740845,1106.886256,1092.143746,1096.559707,11303288
7/27/2022,1095.698975,1099.231646,1087.908719,1096.038609,8655086
7/28/2022,1112.864624,1117.778714,1096.514276,1103.308032,12496073
7/29/2022,1136.574707,1140.039572,1115.989658,1120.835821,15130683
8/1/2022,1166.195679,1172.038341,1135.736925,1140.968126,15700044
8/2/2022,1170.634277,1181.119322,1160.171875,1165.131369,13917913
8/3/2022,1180.462646,1182.115771,1162.84421,1177.5866,14250977
8/4/2022,1164.859741,1185.626053,1148.147114,1182.115903,14467127
8/5/2022,1147.69397,1167.984671,1144.500932,1166.716585,13942438
8/8/2022,1162.708252,1170.136112,1146.33526,1146.33526,10165178
8/10/2022,1169.660645,1173.012179,1158.133816,1167.124232,10724688
8/11/2022,1173.555664,1182.070473,1168.618812,1178.990646,8198226
8/12/2022,1192.532715,1196.314571,1169.524585,1173.19311,12650587
8/16/2022,1200.821167,1203.538718,1189.951205,1198.511297,6607378
8/17/2022,1207.093994,1212.415763,1202.745962,1207.026067,6595965
8/18/2022,1209.283325,1212.782091,1199.695552,1208.692585,7410035
8/19/2022,1187.722168,1209.464998,1183.677974,1204.14858,9460724
8/22/2022,1184.427734,1195.651309,1175.067243,1189.153532,9471680
8/23/2022,1202.69458,1205.602727,1177.498295,1178.702491,9678484
8/24/2022,1199.490845,1213.236391,1197.491584,1199.649978,10369622
8/25/2022,1195.992188,1210.010208,1191.698116,1203.671444,7871946
8/26/2022,1189.607788,1204.148519,1184.609517,1196.423711,10742038
8/29/2022,1180.36084,1206.420455,1171.454672,1174.612696,19838975
8/30/2022,1198.672974,1201.990131,1170.795827,1187.790261,23139054
9/1/2022,1163.434692,1183.678017,1159.02704,1173.545057,19909939
9/2/2022,1149.848145,1170.227764,1147.667035,1163.434557,12999345
9/5/2022,1167.706055,1173.022473,1150.075446,1150.075446,11327815
9/6/2022,1179.997314,1184.155089,1168.705591,1169.160034,10899618
9/7/2022,1173.136108,1179.111415,1167.796974,1170.068949,7488501
9/8/2022,1174.794434,1180.519861,1168.251225,1176.089494,7057077
9/9/2022,1167.478882,1185.972703,1165.07049,1185.972703,8314850
